areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
nation,England,E92000001,2022-09-14,2752,19888584,1983,18641951,769,1246633
nation,England,E92000001,2022-09-13,4122,19885832,3051,18639968,1071,1245864
nation,England,E92000001,2022-09-12,4463,19881710,3163,18636917,1300,1244793
nation,England,E92000001,2022-09-11,3789,19877247,2767,18633754,1022,1243493
nation,England,E92000001,2022-09-10,2794,19873458,2075,18630987,719,1242471
nation,England,E92000001,2022-09-09,3043,19870664,2278,18628912,765,1241752
nation,England,E92000001,2022-09-08,3226,19867621,2352,18626634,874,1240987
nation,England,E92000001,2022-09-07,3726,19864395,2722,18624282,1004,1240113
nation,England,E92000001,2022-09-06,3926,19860669,2855,18621560,1071,1239109
nation,England,E92000001,2022-09-05,4375,19856743,3146,18618705,1229,1238038
nation,England,E92000001,2022-09-04,3755,19852368,2766,18615559,989,1236809
nation,England,E92000001,2022-09-03,2965,19848613,2208,18612793,757,1235820
nation,England,E92000001,2022-09-02,3230,19845648,2430,18610585,800,1235063
nation,England,E92000001,2022-09-01,3758,19842418,2730,18608155,1028,1234263
nation,England,E92000001,2022-08-31,3959,19838660,2923,18605425,1036,1233235
nation,England,E92000001,2022-08-30,4471,19834701,3160,18602502,1311,1232199
nation,England,E92000001,2022-08-29,3934,19830230,2838,18599342,1096,1230888
nation,England,E92000001,2022-08-28,2881,19826296,2192,18596504,689,1229792
nation,England,E92000001,2022-08-27,2586,19823415,1963,18594312,623,1229103
nation,England,E92000001,2022-08-26,2986,19820829,2281,18592349,705,1228480
nation,England,E92000001,2022-08-25,3250,19817843,2395,18590068,855,1227775
nation,England,E92000001,2022-08-24,3894,19814593,2889,18587673,1005,1226920
nation,England,E92000001,2022-08-23,4015,19810699,3005,18584784,1010,1225915
nation,England,E92000001,2022-08-22,4504,19806684,3322,18581779,1182,1224905
nation,England,E92000001,2022-08-21,3532,19802180,2603,18578457,929,1223723
nation,England,E92000001,2022-08-20,2825,19798648,2165,18575854,660,1222794
nation,England,E92000001,2022-08-19,3312,19795823,2485,18573689,827,1222134
nation,England,E92000001,2022-08-18,3857,19792511,2871,18571204,986,1221307
nation,England,E92000001,2022-08-17,4380,19788654,3264,18568333,1116,1220321
nation,England,E92000001,2022-08-16,4826,19784274,3605,18565069,1221,1219205
nation,England,E92000001,2022-08-15,5592,19779448,4170,18561464,1422,1217984
nation,England,E92000001,2022-08-14,4776,19773856,3617,18557294,1159,1216562
nation,England,E92000001,2022-08-13,3967,19769080,3044,18553677,923,1215403
nation,England,E92000001,2022-08-12,4773,19765113,3649,18550633,1124,1214480
nation,England,E92000001,2022-08-11,5436,19760340,4075,18546984,1361,1213356
nation,England,E92000001,2022-08-10,5984,19754904,4493,18542909,1491,1211995
nation,England,E92000001,2022-08-09,6459,19748920,4923,18538416,1536,1210504
nation,England,E92000001,2022-08-08,7222,19742461,5306,18533493,1916,1208968
nation,England,E92000001,2022-08-07,5895,19735239,4489,18528187,1406,1207052
nation,England,E92000001,2022-08-06,4850,19729344,3759,18523698,1091,1205646
nation,England,E92000001,2022-08-05,5858,19724494,4489,18519939,1369,1204555
nation,England,E92000001,2022-08-04,6517,19718636,4970,18515450,1547,1203186
nation,England,E92000001,2022-08-03,7410,19712119,5718,18510480,1692,1201639
nation,England,E92000001,2022-08-02,8159,19704709,6171,18504762,1988,1199947
nation,England,E92000001,2022-08-01,8812,19696550,6647,18498591,2165,1197959
nation,England,E92000001,2022-07-31,7666,19687738,5884,18491944,1782,1195794
nation,England,E92000001,2022-07-30,6611,19680072,5144,18486060,1467,1194012
nation,England,E92000001,2022-07-29,7581,19673461,5848,18480916,1733,1192545
nation,England,E92000001,2022-07-28,8334,19665880,6346,18475068,1988,1190812
nation,England,E92000001,2022-07-27,9430,19657546,7186,18468722,2244,1188824
nation,England,E92000001,2022-07-26,10477,19648116,8048,18461536,2429,1186580
nation,England,E92000001,2022-07-25,11927,19637639,9137,18453488,2790,1184151
nation,England,E92000001,2022-07-24,10213,19625712,7838,18444351,2375,1181361
nation,England,E92000001,2022-07-23,8905,19615499,6974,18436513,1931,1178986
nation,England,E92000001,2022-07-22,11174,19606594,8655,18429539,2519,1177055
nation,England,E92000001,2022-07-21,12788,19595420,9868,18420884,2920,1174536
nation,England,E92000001,2022-07-20,14535,19582632,11292,18411016,3243,1171616
nation,England,E92000001,2022-07-19,14863,19568097,11345,18399724,3518,1168373
nation,England,E92000001,2022-07-18,16915,19553234,12793,18388379,4122,1164855
nation,England,E92000001,2022-07-17,15701,19536319,12069,18375586,3632,1160733
nation,England,E92000001,2022-07-16,13671,19520618,10674,18363517,2997,1157101
nation,England,E92000001,2022-07-15,16625,19506947,12841,18352843,3784,1154104
nation,England,E92000001,2022-07-14,19340,19490322,14752,18340002,4588,1150320
nation,England,E92000001,2022-07-13,21640,19470982,16643,18325250,4997,1145732
nation,England,E92000001,2022-07-12,24372,19449342,18601,18308607,5771,1140735
nation,England,E92000001,2022-07-11,27196,19424970,20617,18290006,6579,1134964
nation,England,E92000001,2022-07-10,23037,19397774,17800,18269389,5237,1128385
nation,England,E92000001,2022-07-09,19351,19374737,15266,18251589,4085,1123148
nation,England,E92000001,2022-07-08,22169,19355386,17500,18236323,4669,1119063
nation,England,E92000001,2022-07-07,24048,19333217,18599,18218823,5449,1114394
nation,England,E92000001,2022-07-06,26726,19309169,20639,18200224,6087,1108945
nation,England,E92000001,2022-07-05,28115,19282443,21782,18179585,6333,1102858
